国連による世界地理区分,国・地域名,国内の大まかな地域,言語の日本語名,文字体系,特徴となる文字形,冠詞・前置詞等／短い看板語,見分け方・混同注意,公的地位・看板での扱い,地域の解説,地図番号,地図帳ページ,地域ID,言語ID,経度,緯度,範囲の性質,統計ID,参照資料ID,地域・制度の出典URL,文字の出典URL,大文字形（機械的な対応・例外は解説）
北ヨーロッパ,フィンランド,北東端（セヴェッティヤルヴィ周辺）,スコルト・サーミ語,Latin,ǩ ǧ ǥ ʒ ǯ,da / Sääʹm,k/gのカロンとʒ系が目立つ。資料・フォントによる表示差に注意。,地域言語の地名・公共表示,サーミ語地域内でも言語ごとに使用地が異なる。,35,10,fin-sami-skolt,sms,28.6,69.51,代表地点。周辺全体を意味しない,fin-se,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sms.xml,Ǩ Ǧ Ǥ Ʒ Ǯ
北ヨーロッパ,スウェーデン,北中部（ウメオの北西側）,ウメ・サーミ語,Latin,á đ ï ŋ ü,Ubbme,他のサーミ諸語と字形を共有。スウェーデン北中部の地名に注目。,地域言語の地名・公共表示,ウメ・サーミ語地名。道路上では他のサーミ語とも文字を共有する。,36,10,swe-sami-ume,sju,18.15,65.53,代表地点。周辺全体を意味しない,,SAMI-NAMES,https://www.lantmateriet.se/sv/kartor/Ortnamn/ortnamn-pa-minoritetssprak/,https://www.omniglot.com/writing/umesami.htm,Á Đ Ï Ŋ Ü
北ヨーロッパ,エストニア,全域（基本の表示）,エストニア語,Latin,õ ä ö ü,ja / tee / tänav,õとä・ö・üの組合せ。õ単独ならポルトガル語なども候補。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,37,11,est-base,et,25.49471,58.59346,国・地域の外形,,EST,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_110_CRP110_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/et.xml,Õ Ä Ö Ü
北ヨーロッパ,ラトビア,全域（基本の表示）,ラトビア語,Latin,ā ē ī ū ģ ķ ļ ņ,un / iela,長音符と下付きの記号が特徴。ģの記号は小文字で上に見える。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,38,11,lva-base,lv,24.37684,56.85771,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/lv.xml,Ā Ē Ī Ū Ģ Ķ Ļ Ņ
北ヨーロッパ,リトアニア,全域（基本の表示）,リトアニア語,Latin,ė ą ę į ų ū,ir / gatvė,点付きėと母音の下の尾。ラトビア語のā・ēとは異なる。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,39,11,ltu-base,lt,24.14372,55.16909,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/lt.xml,Ė Ą Ę Į Ų Ū
西ヨーロッパ,オランダ,全域（基本の表示）,オランダ語,Latin,ij IJ aa ee,de / het / van / straat,ijと長母音の重ね書き。deだけではロマンス諸語と区別できない。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,40,12,nld-base,nl,5.5341,52.10788,国・地域の外形,,NLD,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/11th-uncsgn-docs/E_Conf.105_142_CRP.142_9_toponymic%20guidelines%20Netherlands%202017_a.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/nl.xml,IJ IJ AA EE
西ヨーロッパ,ルクセンブルク,全域（基本の表示）,ルクセンブルク語,Latin,ë ä é,d' / an / Lëtzebuerg,ëが目立つがアルバニア語にもある。ドイツ語・フランス語との混在を見る。,国語・行政での使用,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,41,12,lux-base,lb,6.07899,49.80704,国・地域の外形,lux-main,LUX-STAT,https://statistiques.public.lu/fr/publications/recensement/diversite-linguistique.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/lb.xml,Ë Ä É
西ヨーロッパ,ルクセンブルク,全域（基本の表示）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,立法・行政での使用,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,41,12,lux-base,fr,6.07899,49.80704,国・地域の外形,,LUX-STAT,https://statistiques.public.lu/fr/publications/recensement/diversite-linguistique.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
西ヨーロッパ,ルクセンブルク,全域（基本の表示）,ドイツ語,Latin,ä ö ü ß,der / die / und / Straße,ßが有力。大文字ではSSも使う。スイス・リヒテンシュタインでは通常ss。,行政での使用,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,41,12,lux-base,de,6.07899,49.80704,国・地域の外形,,LUX-STAT,https://statistiques.public.lu/fr/publications/recensement/diversite-linguistique.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,ベルギー,北部（フランデレン）,オランダ語,Latin,ij IJ aa ee,de / het / van / straat,ijと長母音の重ね書き。deだけではロマンス諸語と区別できない。,言語地域に応じた公用語・公共表示,,42,12,bel-north,nl,3.35805,51.09208,行政区を使った位置の概略,,BEL,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/25th-gegn-docs/wp%20papers/wp93-tgl%20belgium-april%202009.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/nl.xml,IJ IJ AA EE
西ヨーロッパ,ベルギー,南部（ワロン）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,言語地域に応じた公用語・公共表示,東端のドイツ語地域と境界の便宜言語自治体は別に扱う。,43,13,bel-south,fr,5.39255,50.15635,行政区を使った位置の概略,,BEL,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/25th-gegn-docs/wp%20papers/wp93-tgl%20belgium-april%202009.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
西ヨーロッパ,ベルギー,中央付近（ブリュッセル）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,言語地域に応じた公用語・公共表示,フランス語・オランダ語の二言語地域。,44,13,bel-brussels,fr,4.35,50.85,代表地点。周辺全体を意味しない,,BEL,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/25th-gegn-docs/wp%20papers/wp93-tgl%20belgium-april%202009.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
西ヨーロッパ,ベルギー,中央付近（ブリュッセル）,オランダ語,Latin,ij IJ aa ee,de / het / van / straat,ijと長母音の重ね書き。deだけではロマンス諸語と区別できない。,言語地域に応じた公用語・公共表示,フランス語・オランダ語の二言語地域。,44,13,bel-brussels,nl,4.35,50.85,代表地点。周辺全体を意味しない,,BEL,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/25th-gegn-docs/wp%20papers/wp93-tgl%20belgium-april%202009.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/nl.xml,IJ IJ AA EE
西ヨーロッパ,ベルギー,東端・ドイツ国境（オイペンなど）,ドイツ語,Latin,ä ö ü ß,der / die / und / Straße,ßが有力。大文字ではSSも使う。スイス・リヒテンシュタインでは通常ss。,言語地域に応じた公用語・公共表示,ドイツ語地域は細い非連続の範囲。点はオイペン、南側のザンクト・フィートも候補。,45,13,bel-german,de,6.03,50.63,代表地点。周辺全体を意味しない,,BEL,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/25th-gegn-docs/wp%20papers/wp93-tgl%20belgium-april%202009.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,オランダ,北部（フリースラント）,西フリジア語,Latin,â ê ô û,de / it / fan,Fryslânなどの曲折アクセント。オランダ語との併記が補助。,フリースラント州の公用語・地名併記,フリジア語地名・街路名。自治体によりオランダ語と単独・併記が異なる。,46,13,nld-friesland,fy,5.81057,53.11443,行政区を使った位置の概略,,NLD,https://unstats.un.org/unsd/geoinfo/UNGEGN/docs/11th-uncsgn-docs/E_Conf.105_142_CRP.142_9_toponymic%20guidelines%20Netherlands%202017_a.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fy.xml,Â Ê Ô Û
西ヨーロッパ,フランス,全域（基本の表示）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,47,14,fra-base,fr,2.1965,46.73256,国・地域の外形,,FRA-MIN,https://www.culture.gouv.fr/thematiques/langue-francaise-et-langues-de-france/agir-pour-les-langues/promouvoir-les-langues-de-france/langues-regionales,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
西ヨーロッパ,フランス,北西の半島（ブルターニュ）,ブルトン語,Latin,c'h ñ,ar / an / ha,c'hが有力。フランス北西部のフランス語との併記を見る。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,48,14,fra-breton,br,-1.74869,48.16577,行政区を使った位置の概略,,BRETON,https://www.bretagne.bzh/presse/communiques-dossiers/convention-specifique-en-faveur-des-langues-de-bretagne-2022-2027-objectif-accroitre-le-nombre-de-jeunes-locuteurs/,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/br.xml,C'H Ñ
西ヨーロッパ,フランス,南西端・スペイン国境の大西洋側,バスク語,Latin,tx tz k,eta / -ko / -ak,tx・tz・kの組合せが補助。スペイン側・フランス側にまたがる。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,49,14,fra-basque,eu,-1.28817,43.32984,国の外形で切り取った概略範囲,basque-fr,BASQUE-FR,https://www.communaute-paysbasque.fr/langues-basque-et-occitan-gascon/je-developpe-leuskara-sur-ma-commune,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/eu.xml,TX TZ K
西ヨーロッパ,フランス,南端・スペイン国境の地中海側,カタルーニャ語（バレンシア語を含む）,Latin,l·l ç ny à,el / els / de / carrer,中点付きl·lが強い手掛かり。nyはスペイン語のñと比較。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,50,14,fra-catalan,ca,2.49933,42.60041,行政区を使った位置の概略,,OCCITAN,https://www.laregion.fr/Pour-des-langues-et-cultures-regionales-bien-vivantes,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ca.xml,L·L Ç NY À
西ヨーロッパ,フランス,南部内陸（トゥールーズ・モンペリエなど）,オック語（アラン語を含む）,Latin,ò è ç nh lh,lo / la / e,nh・lhはポルトガル語とも共通。フランス南部、スペインのアラン谷。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,51,14,fra-occitan,oc,2.3,44.33955,国の外形で切り取った概略範囲,,OCCITAN,https://www.laregion.fr/Pour-des-langues-et-cultures-regionales-bien-vivantes,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/oc.xml,Ò È Ç NH LH
西ヨーロッパ,フランス,南東沖（コルシカ島）,コルシカ語,Latin,chj ghj ù,u / a / è,chj・ghjがイタリア語との差の補助。地名だけでは似る場合が多い。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,52,14,fra-corsica,co,9.06647,42.20722,行政区を使った位置の概略,,CORSICA; FRA-MIN,https://www.isula.corsica/linguacorsa/attachment/2058571/; https://www.culture.gouv.fr/thematiques/langue-francaise-et-langues-de-france/agir-pour-les-langues/promouvoir-les-langues-de-france/langues-regionales,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/co.xml,CHJ GHJ Ù
西ヨーロッパ,フランス,北東部・ドイツ国境（ストラスブール周辺）,アルザス語・アレマン系地域表記,Latin,ä ö ü sch,d' / uf,ドイツ語・スイスドイツ語と文字を共有。フランス語との併記が位置の手掛かり。,地域言語の地名・公共表示（自治体差）,フランス語が基本。塗色は併記を探す地域の概略で、全道路での使用を示さない。,53,14,fra-alsace,gsw,7.38693,48.20872,行政区を使った位置の概略,,ALSACE; FRA-MIN,https://www.strasbourg.eu/documents/976405/4643989/201904-euromet-mag-22.pdf/533dbc8a-2da1-3677-ef26-e8d0c6b30315?t=1554210698816&version=1.0; https://www.culture.gouv.fr/thematiques/langue-francaise-et-langues-de-france/agir-pour-les-langues/promouvoir-les-langues-de-france/langues-regionales,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/gsw.xml,Ä Ö Ü SCH
西ヨーロッパ,ドイツ,全域（基本の表示）,ドイツ語,Latin,ä ö ü ß,der / die / und / Straße,ßが有力。大文字ではSSも使う。スイス・リヒテンシュタインでは通常ss。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,54,15,deu-base,de,10.51974,51.11347,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,ドイツ,東部・チェコとポーランドに近い内陸,上ソルブ語,Latin,ć č ě ł ń ř š ž,a / w,řとłの併存が補助。ドイツ東部のバウツェン周辺。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,55,15,deu-sorbian-upper,hsb,14.325,51.35,国の外形で切り取った概略範囲,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/hsb.xml,Ć Č Ě Ł Ń Ř Š Ž
西ヨーロッパ,ドイツ,東部（コトブス周辺）,下ソルブ語,Latin,ć č ě ł ń ŕ ś ź ž,a / w,ŕ・ś・źとł。上ソルブ語との区別は複数の字を見る。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,56,15,deu-sorbian-lower,dsb,14.205,51.78645,国の外形で切り取った概略範囲,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/dsb.xml,Ć Č Ě Ł Ń Ŕ Ś Ź Ž
西ヨーロッパ,ドイツ,北西岸・デンマーク国境近く,北フリジア語,Latin,ä ö ü å,di / e,地域ごとに正書法が異なる。ドイツ語との併記と海岸の位置を見る。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,57,15,deu-frisian-north,frr,8.98968,54.65343,国の外形で切り取った概略範囲,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/frr.xml,Ä Ö Ü Å
西ヨーロッパ,ドイツ,北端（フレンスブルク周辺）,デンマーク語,Latin,æ ø å,og / af / vej,文字はノルウェー語とほぼ共通。vejなどを補助にする。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,58,15,deu-danish,da,9.43,54.78,代表地点。周辺全体を意味しない,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/da.xml,Æ Ø Å
西ヨーロッパ,ドイツ,北西部（オルデンブルクの西）,ザーターフリジア語,Latin,ä ö ü,di / dät,文字だけではドイツ語と分けにくい。Seelterloundなどの地域名が補助。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,59,15,deu-saterland,stq,7.68,53.09,代表地点。周辺全体を意味しない,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://www.omniglot.com/writing/frisian.htm,Ä Ö Ü
西ヨーロッパ,ドイツ,北部平野（ニーダーザクセンなど）,低地ドイツ語,Latin,ä ö ü aa,de / dat / un,標準ドイツ語に近い。地名の別表記が補助で、全国的な識別字はない。,地域言語の地名・公共表示,地名や自治体・文化表示の併記。ドイツ語が併用され、設置の程度には差がある。,60,15,deu-low-german,nds,8.99184,53.16136,国の外形で切り取った概略範囲,,DEU-MIN; CHARTER,https://rm.coe.int/5th-op-germany-en/1680a6e008; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/nds.xml,Ä Ö Ü AA
西ヨーロッパ,オーストリア,全域（基本の表示）,ドイツ語,Latin,ä ö ü ß,der / die / und / Straße,ßが有力。大文字ではSSも使う。スイス・リヒテンシュタインでは通常ss。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,61,16,aut-base,de,14.74661,47.69373,国・地域の外形,,AUT-UN; CHARTER,https://unstats.un.org/unsd/geoinfo/ungegn/docs/10th-uncsgn-docs/econf/E_CONF.101_60_Report%20of%20Austria.pdf; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,オーストリア,南端・スロベニア国境近く,スロベニア語,Latin,č š ž,in / na / cesta,通常の固有語にć・đを使わないが、外国人名では見られる。,地域言語の地名・公共表示,ケルンテン南部などの二言語地名。,62,16,aut-slovene,sl,14.2982,46.62899,国の外形で切り取った概略範囲,,AUT-UN; CHARTER,https://unstats.un.org/unsd/geoinfo/ungegn/docs/10th-uncsgn-docs/econf/E_CONF.101_60_Report%20of%20Austria.pdf; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sl.xml,Č Š Ž
西ヨーロッパ,オーストリア,東端・ハンガリー国境近く,クロアチア語,Latin,č ć đ š ž,i / u / ulica,ボスニア語・セルビア語ラテン表記と同じ字形。単独では国を分けられない。,地域言語の地名・公共表示,ブルゲンラント内の一部集落。県全域の主表示ではない。,63,16,aut-croatian,hr,16.46149,47.47394,行政区を使った位置の概略,,AUT-UN; CHARTER,https://unstats.un.org/unsd/geoinfo/ungegn/docs/10th-uncsgn-docs/econf/E_CONF.101_60_Report%20of%20Austria.pdf; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/hr.xml,Č Ć Đ Š Ž
西ヨーロッパ,オーストリア,東端（オーバーヴァルト周辺）,ハンガリー語,Latin,ő ű sz gy,és / az / utca,二重鋭アクセントő・űが強い手掛かり。ö・üとは別字。,地域言語の地名・公共表示,ハンガリー語の公的地名を持つ一部集落。,64,16,aut-hungarian,hu,16.2,47.29,代表地点。周辺全体を意味しない,,AUT-UN; CHARTER,https://unstats.un.org/unsd/geoinfo/ungegn/docs/10th-uncsgn-docs/econf/E_CONF.101_60_Report%20of%20Austria.pdf; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/hu.xml,Ő Ű SZ GY
西ヨーロッパ,リヒテンシュタイン,全域（基本の表示）,ドイツ語（スイス式）,Latin,ä ö ü ss,der / die / und / Strasse,通常ßを使わない。ssだけではスイスの証拠にはならない。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,65,17,lie-base,de_CH,9.54189,47.13746,国・地域の外形,,MICRO,https://assets.publishing.service.gov.uk/media/6968cbde6958e5645144b08d/European_Microstates_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,スイス,北部・中部・東部,ドイツ語（スイス式）,Latin,ä ö ü ss,der / die / und / Strasse,通常ßを使わない。ssだけではスイスの証拠にはならない。,地域・州に応じた公用語・公共表示,ベルンなどにはフランス語地区もあり、このまとめは主な位置を示す。,66,17,che-german,de_CH,8.94344,47.06299,行政区を使った位置の概略,che-de_CH,CHE,https://assets.publishing.service.gov.uk/media/6512a2d43d3718000d6d0b62/Switzerland_factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
西ヨーロッパ,スイス,西部（ジュネーブ・ローザンヌなど）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,地域・州に応じた公用語・公共表示,フリブール・ヴァレーは二言語州。州内のドイツ語地区までフランス語一色とはしない。,67,17,che-french,fr,6.68441,46.52468,行政区を使った位置の概略,che-fr,CHE,https://assets.publishing.service.gov.uk/media/6512a2d43d3718000d6d0b62/Switzerland_factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
西ヨーロッパ,スイス,南部（ティチーノと東隣の谷）,イタリア語,Latin,à è é ì ò ù,il / della / via,固有の追加文字は乏しい。via・piazza・gliなどの語を補助にする。,地域・州に応じた公用語・公共表示,東隣のグラウビュンデン州南側の谷にもイタリア語地区。,68,17,che-italian,it,8.77096,46.22798,行政区を使った位置の概略,che-it,CHE,https://assets.publishing.service.gov.uk/media/6512a2d43d3718000d6d0b62/Switzerland_factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/it.xml,À È É Ì Ò Ù
西ヨーロッパ,スイス,南東部の山地（グラウビュンデンの一部）,ロマンシュ語,Latin,sch tg,il / la / e,sch・tgとロマンス系の語の組合せ。スイス南東部の一部で使う。,地域・州に応じた公用語・公共表示,州内はロマンシュ語・ドイツ語・イタリア語のモザイク。塗色は州の位置のみ。,69,17,che-romansh,rm,9.56779,46.61917,行政区を使った位置の概略,che-rm; che-romansh-area,CHE,https://assets.publishing.service.gov.uk/media/6512a2d43d3718000d6d0b62/Switzerland_factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/rm.xml,SCH TG
南ヨーロッパ,スペイン,全域（基本の表示）,スペイン語,Latin,ñ ¿ ¡,el / la / de / calle,ñはガリシア語などにもある。¿・¡は短い地名標識には出ないことが多い。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,70,18,esp-base,es,-3.48933,39.88186,国・地域の外形,,ESP,https://assets.publishing.service.gov.uk/media/6941528d29501ea90654a507/Spain_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/es.xml,Ñ ¿ ¡
南ヨーロッパ,ポルトガル,全域（基本の表示）,ポルトガル語,Latin,ã õ ç nh lh,o / a / do / rua,ã・õとnh・lhの組合せ。スペイン語のñと比較する。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,71,18,prt-base,pt,-8.28768,39.54773,国・地域の外形,,PRT,https://assets.publishing.service.gov.uk/media/6a6b12600c36759b5ccaa1f9/Portugal_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/pt.xml,Ã Õ Ç NH LH
南ヨーロッパ,アンドラ,全域（基本の表示）,カタルーニャ語（バレンシア語を含む）,Latin,l·l ç ny à,el / els / de / carrer,中点付きl·lが強い手掛かり。nyはスペイン語のñと比較。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,72,18,and-base,ca,1.56376,42.53888,国・地域の外形,,MICRO,https://assets.publishing.service.gov.uk/media/6968cbde6958e5645144b08d/European_Microstates_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ca.xml,L·L Ç NY À
南ヨーロッパ,ジブラルタル,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,73,18,gib-base,en,-5.34713,36.1302,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
